"character" "dialogue"
 "han" "why do you take this apart now? i'm trying to get us  out of here and you pull both of these."
 "threepio" "excuse me, sir."
 "han" "put them back together right now."
 "threepio" "might i have a word with you, please?"
 "han" "what do you want?"
 "threepio" "well, it's princess leia, sir. she's been trying to get you  on the communicator."
 "han" "i turned it off. i don't want to talk to her."
 "threepio" "oh. well, princess leia is wondering about master luke. he  hasn't come back yet. she doesn't know where he is."
 "han" "i don't know where he is."
 "threepio" "nobody knows where he is."
 "han" "what do you mean, \"nobody knows\"?"
 "threepio" "well, uh, you see..."
 "han" "deck officer. deck officer!"
 "threepio" "excuse me, sir. might i inqu-..."
 "deck officer" "yes, sir?"
 "han" "do you know where commander skywalker is?"
 "deck officer" "i haven't seen him. it's possible he came in through the  south entrance."
 "han" "it's possible? why don't you go find out? it's getting dark out  there."
 "deck officer" "yes, sir."
 "threepio" "excuse me, sir. might i inquire what's going on?"
 "han" "why not?"
 "threepio" "impossible man. come along, artoo, lets find princess leia.  between ourselves, i think master luke is in considerable danger."
 "deck officer" "sir, commander skywalker hasn't come in through the  south entrance. he might have forgotten to check in."
 "han" "not likely. are the speeders ready?"
 "deck officer" "not yet. we're having some trouble adapting them to the  cold."
 "han" "then we'll have to go out on tauntauns."
 "deck officer" "sir, the temperature's dropping too rapidly."
 "han" "that's right. and my friends out in it."
 "assistant officer" "i'll cover sector twelve. have com-control set  screen alpha."
 "deck officer" "your tauntaun'll freeze before you reach the first  marker."
 "han" "then i'll see you in hell!"
 "threepio" "you must come along now, artoo. there's really nothing more  we can do. and my joints are freezing up."
 "threepio" "don't say thing like that! of course we'll see master luke  again. he'll be quite all right, you'll see.  stupid little short-circuit. he'll be quite all right."
 "lieutenant" "sir, all the patrols are in. there's still no contact from  skywalker or solo."
 "threepio" "mistress leia, artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope."
 "derlin" "your highness, there's nothing more we can do tonight. the  shield doors must be closed."
 "derlin" "close the doors."
 "lieutenant" "yes, sir."
 "threepio" "artoo says the chances of survival are seven hundred  seventy-five...to one."
 "threepio" "actually, artoo has been known to make mistakes...from time  to time. oh, dear, oh, dear. don't worry about master luke. i'm sure he'll be all right. he's quite clever, you know...for a human being."
 "ben" "luke...luke."
 "luke" "ben?"
 "ben" "you will go to the dagobah system."
 "luke" "dagobah system?"
 "ben" "there you will learn from yoda, the jedi master who instructed  me."
 "luke" "ben...ben."
 "han" "luke! luke! don't do this, luke. come on, give me a sign here."
 "han" "not much time."
 "luke" "ben...ben..."
 "han" "hang on, kid."
 "luke" "dagobah system..."
 "han" "whew..."
 "luke" "dagobah..."
 "han" "this may smell bad, kid..."
 "luke" "yoda..."
 "han" "...but it will keep you warm...til i get the shelter built.   ooh...i thought they smelled bad on the outside!"
 "zev" "echo base...i've got something! not much, but  it could be a life form."
 "zev" "this is rouge two. this is rouge two. captain  solo, so you copy? commander skywalker, do you copy? this is rouge two."
 "han" "good morning. nice of you guys to  drop by."
 "zev" "echo base...this is rouge two. i found  them. repeat, i found them."
 "threepio" "master luke, sir, it's good to see you fully functional  again."
 "threepio" "artoo expresses his relief, also."
 "han" "how are you feeling, kid? you don't look so bad to me. in fact,  you look strong enough to pull the ears off a gundark."
 "luke" "thanks to you."
 "han" "that's two you owe me, junior."
 "han" "well your worship, looks like you managed to keep me around for a  little while longer."
 "leia" "i had nothing to do with it. general rieekan thinks  it's dangerous for any ships to leave the system until we've activated the energy shield."
 "han" "that's a good story. i think you just can't bear to let a  gorgeous guy like me out of your sight."
 "leia" "i don't know where you get you delusions, laser brain."
 "han" "laugh it up, fuzz ball. but you didn't see us alone in the south  passage."
 "han" "she expressed her true feelings for me."
 "leia" "my...! why, you stuck up,...half-witted,...scruffy-looking...  nerf-herder!"
 "han" "who's scruffy-looking?  i must have hit her pretty close  to the mark to get her all riled up like that, huh, kid?"
 "leia" "why, i guess you don't know everything about women yet?"
 "announcer" "headquarters personnel, report to command  center."
 "han" "take it easy."
 "threepio" "excuse us, please."
 "rieekan" "princess...we have a visitor."
 "rieekan" "we've picked up something outside the base in zone twelve,  moving east."
 "senior controller" "it's metal."
 "leia" "then it couldn't be one of those creatures that attacked luke."
 "han" "it could be a speeder, one of ours."
 "senior controller" "no. wait -- there's something very weak coming  through."
 "threepio" "sir, i am fluent in six million forms of communication. this  signal is not used by the alliance. it could be an imperial code."
 "han" "it isn't friendly, whatever it is. come on, chewie, let's check  it out."
 "rieekan" "send rouges ten and eleven to station three-eight."
 "han" "afraid there's not much left."
 "leia" "what was it?"
 "han" "droid of some kind. i didn't hit it that hard. it  must have had a self-destruct."
 "leia" "an imperial probe droid."
 "han" "it's a good bet the empire knows we're here."
 "rieekan" "we'd better start the evacuation."
 "piett" "admiral."
 "ozzel" "yes, captain"
 "piett" "i think we've got something, sir. the report is only a fragment  had."
 "ozzel" "we have thousands of probe droids searching the  galaxy. i want proof, not leads!"
 "piett" "the visuals indicate life readings."
 "ozzel" "it could mean anything. if we followed every lead..."
 "piett" "but, sir, the hoth system is supposed to be devoid of human  forms."
 "vader" "you found something?"
 "piett" "yes, my lord."
 "vader" "that's it. the  rebels are there."
 "ozzel" "my lord, there are so many uncharted settlements. it could be  smugglers, it could be..."
 "vader" "that is the system. and i'm sure skywalker is with them. set  your course for the hoth system. general veers, prepare you men."
 "rebel captain" "groups seven and ten will stay behind to fly the  speeders. as soon as each transport is loaded, evacuation control will give clearance for immediate launch."
 "rebel fighter" "right, sir."
 "han" "okay, that's it. try it...off! turn it  off! turn it off! off!"
 "medical droid" "sir, it will take quite awhile to evacuate the t-forty-  sevens."
 "luke" "well, forget the heavy equipment. there's plenty of time to get  the smaller modules on the transports."
 "medical droid" "take care, sir."
 "luke" "thanks."
 "luke" "chewie, take care of yourself, okay?"
 "han" "hi, kid.  there's got to be a reason for it. check it  at the other end. wait a second.  you all right?"
 "luke" "yeah."
 "han" "be careful."
 "luke" "you, too."
 "controller" "general, there's a fleet of star destroyers coming out of  hyperspace in sector four."
 "rieekan" "reroute all power to the energy shield. we've got to hold  them till all transports are away. prepare for ground assault."
 "vader" "what is it, general?"
 "veers" "my lord, the fleet has moves out of light-speed. com-scan has  detected an energy field protecting an area around the sixth planet of the hoth system. the field is strong enough to deflect any bombardment."
 "vader" "the rebels are alerted to our presence. admiral ozzel  came out of light-speed too close to the system."
 "veers" "he felt surprise was wiser..."
 "vader" "he is as clumsy as he is stupid. general, prepare your troops  for a surface attack."
 "veers" "yes, my lord."
 "ozzel" "lord vader, the fleet has moved out of light-speed, and we're  preparing to...aaagh!"
 "vader" "you have failed me for the last time, admiral. captain piett."
 "piett" "yes, my lord."
 "vader" "make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. you are in command now, admiral piett."
 "piett" "thank you, lord vader."
 "leia" "all troop carriers will assemble at the north entrance. the  heavy transport ships will leave as soon as they're loaded. only two fighter escorts per ship. the energy shield can only be opened for a short time, so you'll have to stay very close to your transports."
 "hobbie" "two fighters against a star destroyer?"
 "leia" "the ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. when you've gotten past the energy shield, proceed directly to the rendezvous point. understood?"
 "pilots" "right. okay."
 "leia" "good luck."
 "derlin" "okay. everyone to your stations. let's go!"
 "rieekan" "their primary target will be the power generators. prepare to  open the shield."
 "controller" "sir, rebel ships are coming into our sector."
 "captain" "good. our first catch of the day."
 "woman controller" "stand by, ion control....fire!"
 "announcer" "the first transport is away."
 "dack" "feeling all right, sir?"
 "luke" "just like new, dack. how about you?"
 "dack" "right now i feel i could take on the whole empire myself."
 "luke" "i know what you mean."
 "trench officer" "echo station three-t-eight."
 "trench officer" "we have spotted imperial walkers!"
 "controller" "imperial walkers on the north ridge."
 "luke" "echo station five-seven. we're on our way."
 "luke" "all right, boys, keep tight now."
 "dack" "luke, i have no approach vector. i'm not set."
 "luke" "steady, dack. attack pattern delta. go now!"
 "luke" "all right, i'm coming in."
 "luke" "hobbie, you still with me?"
 "luke" "that armor's too strong for blasters."
 "luke" "rouge group, use your harpoons and tow cables. go  for the legs. it might be our only chance of stopping them.  all right, stand by, dack."
 "dack" "luke, we've got a malfunction in fire control. i'll have to cut  in the auxiliary."
 "luke" "just hang on. hang on, dack. get ready to fire that tow cable."
 "luke" "dack? dack!"
 "veers" "yes, lord vader. i've reached the main power generator. the  shield will be down in moments. you may start your landing."
 "luke" "rouge three."
 "wedge" "copy, rouge leader"
 "luke" "wedge, i've lost my gunner. you'll have to make  this shot. i'll cover for you. set your harpoon. follow me on the next pass."
 "wedge" "coming around, rouge leader."
 "luke" "steady, rouge two"
 "wedge" "activate harpoon."
 "wedge" "good shot, janson."
 "wedge" "one more pass."
 "janson" "coming around. once more."
 "janson" "one more."
 "janson" "cable out! let her go!"
 "wedge" "detach cable."
 "janson" "cable detached."
 "trench officer" "come on!"
 "wedge" "whooha!! that got him!"
 "luke" "i see it, wedge. good work."
 "rieekan" "i don't think we can protect two transports at a time."
 "leia" "it's risky, but we can't hold out much longer. we have no  choice."
 "rieekan" "launch patrols."
 "leia" "evacuate remaining ground staff."
 "han" "no, no! no! this one goes there, that one goes there. right?"
 "threepio" "artoo, you take good care of master luke now, understand?  and...do take care of yourself. oh, dear, oh, dear."
 "veers" "all troops will debark for ground assault. prepare to target  the main generator."
 "luke" "rouge two, are you all right?"
 "zev" "yeah. i'm with you, rouge leader."
 "luke" "we'll set harpoon. i'll cover for you."
 "zev" "coming around."
 "luke" "watch that cross fire, boys."
 "zev" "set for position three.  steady."
 "luke" "stay tight and low."
 "luke" "hobbie, i've been hit!"
 "han" "you all right?"
 "leia" "why are you still here?"
 "han" "i heard the command center had been hit."
 "leia" "you got your clearance to leave."
 "han" "don't worry. i'll leave. first i'm going to get you to your ship."
 "threepio" "your highness, we must take this last transport. it's our  only hope."
 "leia" "send all troops in sector twelve to the south  slope to protect the fighters."
 "announcer" "imperial troops have entered the base."
 "han" "come on...that's it."
 "leia" "give the evacuation code signal. and get to  your transports!"
 "head controller" "k-one-zero...all troops disengage."
 "threepio" "oh! wait for me!"
 "officer" "begin retreat!"
 "second officer" "fall back!"
 "veers" "distance to power generators?"
 "pilot" "one-seven, decimal two-eight."
 "veers" "target. maximum fire power."
 "han" "transport, this is solo. better take off -- i  can't get to you. i'll get the princess out on the falcon."
 "threepio" "but...but...but...where are you going? uh...come back!!"
 "threepio" "wait! wait for me! wait! stop!"
 "threepio" "how typical."
 "han" "come on."
 "han" "hurry up, goldenrod, or you're going to be a permanent resident!"
 "threepio" "wait! wait!"
 "han" "how's this?"
 "leia" "would it helped if i got out and pushed?"
 "han" "it might."
 "threepio" "captain solo, captain solo...sir, might i suggest that  you..."
 "threepio" "it can wait."
 "leia" "the bucket of bolts is never going to get us past that blockade."
 "han" "this baby's got a few surprises left in her, sweetheart."
 "han" "come on! come on! switch over. let's hope we don't have a  burnout."
 "han" "see?"
 "leia" "someday you're going to be wrong, and i hope i'm there to see it."
 "han" "punch it!"
 "luke" "artoo! get her ready for takeoff."
 "wedge" "good luck, luke. see you at the rendezvous."
 "luke" "don't worry, artoo. we're going, we're going."
 "luke" "there's nothing wrong, artoo. i'm just setting a  new course."
 "luke" "we're not going to regroup with the others."
 "luke" "we're going to the dagobah system."
 "luke" "yes, artoo?"
 "luke" "that's all right. i'd like to keep it  on manual control for a while."
 "han" "i saw them! i saw them!"
 "leia" "saw what?"
 "han" "star destroyers, two of them, coming right at us."
 "threepio" "sir, sir! might i suggest..."
 "han" "shut him up or shut him down!  check the  deflector shield!"
 "han" "oh, great. well, we can still outmaneuver them."
 "imperial officer" "take evasive action!"
 "han" "prepare to make the jump to light-speed."
 "threepio" "but, sir!"
 "leia" "they're getting closer!"
 "han" "oh yeah? watch this."
 "leia" "watch what?"
 "han" "i think we're in trouble."
 "threepio" "if i may say so, sir, i noticed earlier the hyperdrive  motivator has been damaged. it's impossible to go to light-speed!"
 "han" "we're in trouble!"
 "han" "horizontal boosters...!"
 "han" "alluvial dampers...! well that's not it."
 "han" "bring me the hydrospanners!"
 "han" "i don't know how we're going to get out of this one."
 "han" "oww! chewie!"
 "han" "that was no laser blast! something hit us."
 "leia" "han, get up here!"
 "han" "come on, chewie!"
 "leia" "asteroids!"
 "han" "oh, no! chewie, set two-seven-one."
 "leia" "what are you doing? you're not actually going into an asteroid  field?"
 "han" "they'd be crazy to follow us, wouldn't they?"
 "leia" "you don't have to do this to impress me."
 "threepio" "sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one."
 "han" "never tell me the odds!"
 "han" "you said you wanted to be around when i made a mistake; well,  this could be it, sweetheart."
 "leia" "i take it back. we're going to get pulverized if we stay out  here much longer."
 "han" "i'm not going to argue with that."
 "threepio" "pulverized?"
 "han" "i'm going in closer to one of the big ones."
 "leia" "closer?"
 "threepio" "closer?!"
 "threepio" "oh, this is suicide!"
 "han" "there. that looks pretty good."
 "leia" "what looks pretty good?"
 "han" "yeah. that'll do nicely."
 "threepio" "excuse me, ma'am, but where are we going?"
 "leia" "i hope you know what you're doing."
 "han" "yeah, me too."
 "luke" "yes, that's it. dagobah."
 "luke" "no, i'm not going to change my mind about this.   i'm not picking up any cities or technology. massive life-form readings, though. there's something alive down there..."
 "luke" "yes, i'm sure it's perfectly safe for droids."
 "luke" "i know, i know! all the scopes are dead. i can't  see a thing! just hang on, i'm going to start the landing cycle..."
 "luke" "no, artoo, you stay put. i'll have a look around."
 "luke" "artoo?"
 "luke" "artoo! where are you?"
 "luke" "artoo! you be more careful."
 "luke" "artoo -- that way!"
 "luke" "artoo!"
 "luke" "oh, no! are you all right? come on. you're lucky you don't taste  very good. anything broken?"
 "luke" "if you're saying coming here was a bad idea, i'm beginning to  agree with you. oh, artoo, what are we doing here? it's like... something out of a dream, or, i don't know. maybe i'm just going crazy."
 "vader" "yes, admiral?"
 "piett" "our ships have sighted the millennium falcon, lord. but...it  has entered an asteroid field and we cannot risk..."
 "vader" "asteroids do not concern me, admiral. i want  that ship and not excuses."
 "piett" "yes, lord."
 "han" "i'm going to shut down everything but the emergency power  systems."
 "threepio" "sir, i'm almost afraid to ask, but...does that include  shutting me down, too?"
 "han" "no, i need you to talk to the falcon, find out what's wrong with  the hyperdrive."
 "threepio" "sir, it's quite possible this asteroid is not entirely  stable."
 "han" "not entirely stable? i'm glad you're here to tell us these  things.  chewie, take the professor in the back and plug him into the hyperdrive."
 "threepio" "oh! sometimes i just don't understand human behavior. after  all, i'm only trying to do my job in the most..."
 "leia" "let go."
 "han" "sshh!"
 "leia" "let go, please."
 "han" "don't get excited."
 "leia" "captain, being held by you isn't quite enough to get me excited."
 "han" "sorry, sweetheart. we haven't got time for anything else."
 "luke" "ready for some power? okay. let's see now. put that in there.  there you go."
 "luke" "now all i have to do is find this yoda...if he even  exists."
 "luke" "still...there's something familiar about this place. i feel  like...i don't know..."
 "strange voice" "feel like what?"
 "luke" "like we're being watched!"
 "creature" "away with your weapon! i mean you no harm."
 "creature" "i am wondering, why are you here?"
 "luke" "i'm looking for someone."
 "creature" "looking? found someone, you have, i would say, hmmm?"
 "luke" "right."
 "creature" "help you i can. yes, mmmm."
 "luke" "i don't think so. i'm looking for a great warrior."
 "creature" "ahhh! a great warrior.  wars not  make one great."
 "luke" "put that down. hey! that's my dinner."
 "creature" "how you get so big, eating food of this kind?"
 "luke" "listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just..."
 "creature" "aww, cannot get your ship out?"
 "luke" "hey, you could have broken this. don't do that. ohhh...you're  making a mess. hey, give me that!"
 "creature" "mine! or i will help you not."
 "luke" "i don't want your help. i want my lamp back. i'll need it to get  out of this slimy mudhole."
 "creature" "mudhole? slimy? my home this is."
 "creature" "ah, ah, ah!"
 "luke" "oh, artoo, let him have it."
 "creature" "mine! mine!"
 "luke" "artoo!"
 "creature" "mine!"
 "creature" "mine!"
 "luke" "now will you move along, little fella? we're got a lot  of work to do."
 "creature" "no! no, no! stay and help you, i will.  find your  friend, hmm?"
 "luke" "i'm not looking for a friend, i'm looking for a jedi master."
 "creature" "oohhh. jedi master. yoda. you seek yoda."
 "luke" "you know him?"
 "creature" "mmm. take you to him, i will.  yes, yes. but now, we  must eat. come. good food. come."
 "creature" "come, come."
 "luke" "stay here and watch after the camp, artoo."
 "threepio" "oh, where is artoo when i need him?"
 "threepio" "sir, i don't know where your ship learned to communicate,  but it has the most peculiar dialect. i believe, sir, it says that the power coupling on the negative axis has been polarized. i'm afraid you'll have to replace it."
 "han" "well, of course i'll have to replace it."
 "han" "here! and chewie..."
 "han" "...i think we'd better replace the negative power  coupling."
 "han" "hey, your worship, i'm only trying to help."
 "leia" "would you please stop calling me that?"
 "han" "sure, leia."
 "leia" "oh, you make it so difficult sometimes."
 "han" "i do, i really do. you could be a little nicer, though.  come on, admit it. sometimes you think i'm all right."
 "leia" "occasionally  maybe...when you aren't  acting like a scoundrel."
 "han" "scoundrel? scoundrel? i like the sound of that."
 "leia" "stop that."
 "han" "stop what?"
 "leia" "stop that! my hands are dirty."
 "han" "my hands are dirty, too. what are you afraid of?"
 "leia" "afraid?"
 "han" "you're trembling."
 "leia" "i'm not trembling."
 "han" "you like me because i'm a scoundrel. there aren't enough  scoundrels in your life."
 "leia" "i happen to like nice men."
 "han" "i'm a nice man."
 "leia" "no, you're not. you're..."
 "threepio" "sir, sir! i've isolated the reverse power flux coupling."
 "han" "thank you. thank you very much."
 "threepio" "oh, you're perfectly welcome, sir."
 "needa" "...and that, lord vader, was the last time they  appeared in any of our scopes. considering the amount of damage we've sustained, they must have been destroyed."
 "vader" "no, captain, they're alive. i want every ship available to  sweep the asteroid field until they are found."
 "piett" "lord vader."
 "vader" "yes, admiral, what is it?"
 "piett" "the emperor commands you make contact with him."
 "vader" "move the ship out of the asteroid field so that we can send a  clear transmission."
 "piett" "yes, my lord."
 "vader" "what is thy bidding, my master?"
 "emperor" "there is a great disturbance in the force."
 "vader" "i have felt it."
 "emperor" "we have a new enemy -- luke skywalker."
 "vader" "yes, my master."
 "emperor" "he could destroy us."
 "vader" "he's just a boy. obi-wan can no longer help him."
 "emperor" "the force is strong with him. the son of skywalker must not  become a jedi."
 "vader" "if he could be turned, he would become a powerful ally."
 "emperor" "yes. yes. he would be a great asset. can it be done?"
 "vader" "he will join us or die, my master."
 "luke" "look, i'm sure it's delicious. i just don't understand why we  can't see yoda now."
 "creature" "patience! for the jedi it is time to eat as well. eat, eat.  hot. good food, hm? good, hmm?"
 "luke" "how far away is yoda? will it take us long to get there?"
 "creature" "not far. yoda not far. patience. soon you will be with him.   rootleaf, i cook. why wish you become jedi? hm?"
 "luke" "mostly because of my father, i guess."
 "creature" "ah, your father. powerful jedi was he, powerful jedi, mmm."
 "luke" "oh, come on. how could you know my father? you  don't even know who i am.  oh, i don't even know what i'm doing here. we're wasting our time."
 "creature" "i cannot teach him. the boy has no patience."
 "ben" "he will learn patience."
 "yoda" "hmmm. much anger in him, like his father."
 "ben" "was i any different when you taught me?"
 "yoda" "hah. he is not ready."
 "luke" "yoda! i am ready. i...ben! i can be a jedi. ben, tell him i'm  ready."
 "yoda" "ready, are you? what know you of ready? for eight hundred years  have i trained jedi. my own counsel will i keep on who is to be trained! a jedi must have the deepest commitment, the most serious mind.  this one a long time have i watched. never his mind on where he was. hmm? what he was doing. hmph. adventure. heh! excitement. heh! a jedi craves not these things.  you are reckless!"
 "ben" "so was i, if you'll remember."
 "yoda" "he is too old. yes, too old to begin the training."
 "luke" "but i've learned so much."
 "yoda" "will he finished what he begins?"
 "luke" "i won't fail you -- i'm not afraid."
 "yoda" "oh, you will be. you will be."
 "threepio" "sir, if i may venture an opinion..."
 "han" "i'm not really interested in your opinion, threepio."
 "leia" "there's something out there."
 "han" "where?"
 "leia" "outside, in the cave."
 "threepio" "there it is. listen! listen!"
 "han" "i'm going out there."
 "leia" "are you crazy?!"
 "han" "i just got this bucket back together. i'm not going to let  something tear it apart."
 "leia" "then i'm going with you."
 "threepio" "i think it might be better if i stay here and guard the  ship.  oh, no."
 "leia" "this ground sure feels strange. it doesn't feel like rock at  all."
 "han" "there's an awful lot of moisture in here."
 "leia" "i don't know. i have a bad feeling about this."
 "han" "yeah."
 "han" "watch out!"
 "han" "yeah, that's what i thought. mynock. chewie, check the rest of  the ship, make sure there aren't any more attached. they're chewing on the power cables."
 "leia" "mynocks?"
 "han" "go on inside. we'll clean them off if there are any more."
 "threepio" "ohhh! go away! go away! beastly thing. shoo! shoo!"
 "han" "wait a minute..."
 "han" "all right, chewie, let's get out of here!"
 "leia" "the empire is still out there. i don't think it's wise to..."
 "han" "no time to discuss this as a committee."
 "leia" "i am not a committee!"
 "leia" "you can't make the jump to light-speed in this asteroid field..."
 "han" "sit down, sweetheart. we're taking off!"
 "threepio" "look!"
 "han" "i see it, i see it."
 "threepio" "we're doomed!"
 "leia" "the cave is collapsing."
 "han" "this is no cave."
 "leia" "what?"
 "yoda" "run! yes. a jedi's strength flows from the force. but beware of  the dark side. anger...fear...aggression. the dark side of the force are they. easily they flow, quick to join you in a fight. if once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did obi-wan's apprentice."
 "luke" "vader. is the dark side stronger?"
 "yoda" "no...no...no. quicker, easier, more seductive."
 "luke" "but how am i to know the good side from the bad?"
 "yoda" "you will know. when you are calm, at peace. passive. a jedi uses  the force for knowledge and defense, never for attack."
 "luke" "but tell me why i can't..."
 "yoda" "no, no, there is no why. nothing more will i  teach you today. clear your mind of questions. mmm. mmmmmm."
 "luke" "there's something not right here."
 "luke" "i feel cold, death."
 "yoda" "that place...is strong with the dark side of the force. a domain  of evil it is. in you must go."
 "luke" "what's in there?"
 "yoda" "only what you take with you."
 "yoda" "your weapons...you will not need them."
 "piett" "bounty hunters. we don't need that scum."
 "first controller" "yes, sir."
 "piett" "those rebels won't escape us."
 "second controller" "sir, we have a priority signal from the star  destroyer avenger."
 "piett" "right."
 "vader" "...there will be a substantial reward for the one who finds  the millennium falcon. you are free to use any methods necessary, but i want them alive. no disintegrations."
 "boba fett" "as you wish."
 "piett" "lord vader! my lord, we have them."
 "threepio" "oh, thank goodness we're coming out of the asteroid field."
 "han" "let's get out of here. ready for light-speed? one...two...three!"
 "han" "it's not fair!"
 "han" "the transfer circuits are working. it's not my fault!"
 "leia" "no light-speed?"
 "han" "it's not my fault."
 "threepio" "sir, we just lost the main rear deflector shield. one more  direct hit on the back quarter and we're done for."
 "han" "turn her around."
 "han" "i said turn her around! i'm going to put all power in the front  shield."
 "leia" "you're going to attack them?!"
 "threepio" "sir, the odds of surviving a direct assault on an imperial  star destroyer..."
 "leia" "shut up!"
 "needa" "they're moving to attack position. shields up!"
 "needa" "track them,. they may come around for another pass."
 "tracking officer" "captain needa, the ship no longer appears on our  scopes."
 "needa" "they can't have disappeared. no ship that small has a cloaking  device."
 "tracking officer" "well, there's no trace of them, sir."
 "communications officer" "captain, lord vader demands an update on the  pursuit."
 "needa" "get a shuttle ready. i shall assume full  responsibility for losing them, and apologize to lord vader. meanwhile, continue to scan the area."
 "communications officer" "yes, captain needa."
 "yoda" "use the force. yes..."
 "yoda" "now...the stone. feel it."
 "yoda" "concentrate!"
 "luke" "oh, no. we'll never get it out now."
 "yoda" "so certain are you. always with you it cannot be done. hear you  nothing that i say?"
 "luke" "master, moving stones around is one thing. this is totally  different."
 "yoda" "no! no different! only different in your mind. you must unlearn  what you have learned."
 "luke" "all right, i'll give it a try."
 "yoda" "no! try not. do. or do not. there is no try."
 "luke" "i can't. it's too big."
 "yoda" "size matters not. look at me. judge me by my size, do you? hm?  mmmm."
 "yoda" "and well you should not. for my ally in the force. and a  powerful ally it is. life creates it, makes it grow. it's energy surrounds us and binds us. luminous beings are we......not this crude matter.  you must feel the force around you.  here, between you...me...the tree...the rock...everywhere! yes, even between this land and that ship!"
 "luke" "you want the impossible."
 "luke" "i don't...i don't believe it."
 "yoda" "that is why you fail."
 "vader" "apology accepted, captain needa."
 "piett" "lord vader, our ships have completed their scan of the area and  found nothing. if the millennium falcon went into light-speed, it'll be on the other side of the galaxy by now."
 "vader" "alert all commands. calculate every possible destination along  their last know trajectory."
 "piett" "yes, my lord. we'll find them."
 "vader" "don't fail me again, admiral."
 "piett" "alert all commands. deploy the fleet."
 "threepio" "captain solo, this time you have gone too far.  no, i will not be quiet, chewbacca. why doesn't anyone listen to me?"
 "han" "the fleet is beginning to break up. go back and stand  by the manual release for the landing claw."
 "threepio" "i really don't see how thats going to help. surrender is a  perfectly acceptable alternative in extreme circumstances. the empire may be gracious enough..."
 "han" "thank you."
 "leia" "what did you have in mind for your next move?"
 "han" "well, if they follow standard imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away."
 "leia" "with the rest of the garbage. then what?"
 "han" "then we've got to find a safe port somewhere around here. got any  ideas?"
 "leia" "no. where are we?"
 "han" "the anoat system."
 "leia" "anoat system. there's not much there."
 "han" "no. well, wait. this is interesting. lando."
 "leia" "lando system?"
 "han" "lando's not a system, he's a man. lando calrissian. he's a card  player, gambler, scoundrel. you'd like him."
 "leia" "thanks."
 "han" "bespin. it's pretty far, but i think we can make it."
 "leia" "a mining colony?"
 "han" "yeah, a tibanna gas mine. lando conned somebody out of it. we go  back a long way, lando and me."
 "leia" "can you trust him?"
 "han" "no. but he has no love for the empire, i can tell you that."
 "han" "here we go, chewie. stand by. detach!"
 "leia" "you do have your moments. not many, but you have them."
 "yoda" "concentrate...feel the force flow. yes. good. calm, yes. through  the force, things you will see. other places. the future...the past. old friends long gone."
 "luke" "han! leia!"
 "yoda" "hmm. control, control. you must learn control."
 "luke" "i saw...i saw a city in the clouds."
 "yoda" "mmm. friends you have there."
