"character" "dialogue"
 "lando" "all right! a little higher! just a little higher!"
 "han" "chewie, pull us up! come on! okay... up, chewie, up!"
 "leia" "come on. we gotta get out of here quick."
 "threepio" "not my eyes! artoo, help! quickly, artoo. oh! ohhh! you beast!"
 "luke" "get the gun! point it at the deck!"
 "luke" "point it at the deck!"
 "threepio" "artoo, where are we going? i couldn't possibly jump."
 "luke" "come on!"
 "luke" "let's go! and don't forget the droids."
 "lando" "we're on our way."
 "han" "i don't know. all i can see is a lot of blowing sand!"
 "leia" "that's all any of us can see."
 "han" "then i guess i'm getting better."
 "han" "i've got to hand it to you, kid, you were pretty good out there."
 "luke" "i had a lot of help. think nothing of it."
 "han" "no, i'm thinking a lot about it. that carbon freeze was the closest thing to dead there is. and it wasn't just sleepin'. it was a big wide awake nothing!"
 "luke" "i'll see you back at the fleet."
 "han" "why don't you leave that crate and come with us?"
 "luke" "i have a promise i have to keep first... to an old friend."
 "han" "guess i owe you some thanks, too, lando."
 "lando" "figured if i left you frozen like that you'd just give me bad luck the rest of my life, so i might as well get you unfrozen sooner or later."
 "leia" "he means \"you're welcome.\""
 "lando" "come on, let's get off this miserable dust ball."
 "luke" "i'll meet you back at the fleet."
 "leia" "hurry. the alliance should be assembled by now."
 "luke" "i will."
 "han" "hey, luke, thanks. thanks for comin' after me. now i owe you one."
 "luke" "that's right, artoo. we're going to the  dagobah system. i have a promise to keep...  to an old friend."
 "emperor" "rise, my friend."
 "vader" "the death star will be completed on schedule."
 "emperor" "you have done well, lord vader. and now i sense you wish to continue your search for young skywalker."
 "vader" "yes, my master."
 "emperor" "patience, my friend. in time he will seek you out. and when he does, you must bring him before me. he has grown strong. only together can we turn him to the dark side of the force."
 "vader" "as you wish."
 "emperor" "everything is proceeding as i have foreseen."
 "yoda" "hmm. that face you make. look i so old to young eyes?"
 "luke" "no... of course not."
 "yoda" "i do, yes, i do!  sick have i become. old and weak.  when nine hundred years old you reach, look as good you will not. hmm?"
 "yoda" "soon will i rest. yes, forever sleep. earned it, i have."
 "luke" "master yoda, you can't die."
 "yoda" "strong am i with the force... but not that strong! twilight is upon me and soon night must fall. that is the way of things ... the way of the force."
 "luke" "but i need your help. i've come back to complete the training."
 "yoda" "no more training do you require. already know you that which you need."
 "luke" "then i am a jedi?"
 "yoda" "ohhh. not yet. one thing remains: vader. you must confront vader. then, only then, a jedi will you be. and confront him you will."
 "luke" "master yoda... is darth vader my father?"
 "yoda" "mmm... rest i need. yes... rest."
 "luke" "yoda, i must know."
 "yoda" "your father he is."
 "yoda" "told you, did he?"
 "luke" "yes."
 "yoda" "unexpected this is, and unfortunate.."
 "luke" "unfortunate that i know the truth?"
 "yoda" "no. unfortunate that you rushed to face him... that incomplete was your training. not ready for the burden were you."
 "luke" "well, i'm sorry."
 "yoda" "remember, a jedi's strength flows from the force.  but beware.  anger, fear, aggression. the dark side are they.  once you start down the dark path, forever will it dominate your destiny."
 "yoda" "luke...luke...do not...do not underestimate the powers of the emperor, or suffer your father's fate, you will. luke, when gone am i , the last of the jedi will you be. luke, the force runs strong in your family. pass on what you have learned, luke...  there is... another...sky...sky...walker."
 "luke" "i can't do it, artoo. i can't go on alone."
 "ben" "yoda will always be with you."
 "luke" "obi-wan! why didn't you tell me?"
 "luke" "you told me vader betrayed and murdered my father."
 "ben" "you father was seduced by the dark side of the force. he ceased to be anakin skywalker and became darth vader. when that happened, the good man who was your father was destroyed. so what i have told you was true... from a certain point of view."
 "luke" "a certain point of view!"
 "ben" "luke, you're going to find that many of the truths we cling to depend greatly on our own point of view."
 "ben" "i don't blame you for being angry. if i was wrong in what i did, it certainly wouldn't have been for the first time. you see, what happened to your father was my fault."
 "ben" "anakin was a good friend."
 "ben" "when i first knew him, your father was already a great pilot. but i was amazed how strongly the force was with him.  i took it upon myself to train him as a jedi.  i thought that i could instruct him just as well as yoda.  i was wrong.  my pride has had terrible consequences for the galaxy."
 "luke" "there's still good in him."
 "ben" "i also thought he could be turned back to the good side. it couldn't be done. he is more machine now than man. twisted and evil."
 "luke" "i can't do it, ben."
 "ben" "you cannot escape your destiny."
 "luke" "i tried to stop him once. i couldn't do it."
 "ben" "vader humbled you when first you met him, luke...but that experience was part of your training. it taught you, among other things, the value of patience.  had you not been so impatient to defeat vader then, you could have finished your training here with yoda. you would have been prepared."
 "luke" "but i had to help my friends."
 "ben" "and did you help them? it was they who had to save you. you achieved little by rushing back prematurely, i fear."
 "luke" "i found out darth vader was my father."
 "ben" "to be a jedi, luke, you must confront and then go beyond the dark side - the side your father couldn't get past. impatience is the easiest door - for you, like your father. only, your father was seduced by what he found on the other side of the door, and you have held firm. you're no longer so reckless now, luke. you are strong and patient. and now, you must face darth vader again!"
 "luke" "i can't kill my own father."
 "ben" "then the emperor has already won. you were our only hope."
 "luke" "yoda spoke of another."
 "ben" "the other he spoke of is your twin sister."
 "luke" "but i have no sister."
 "ben" "hmm. to protect you both from the emperor, you were hidden from your father when you were born. the emperor knew, as i did, if anakin were to have any offspring, they would be a threat to him. that is the reason why your sister remains safely anonymous."
 "luke" "leia! leia's my sister."
 "ben" "your insight serves you well. bury your feelings deep down, luke. they do you credit. but they could be made to serve the emperor."
 "ben" "when your father left, he didn't know your mother was pregnant. your mother and i knew he would find out eventually, but we wanted to keep you both as safe as possible, for as long as possible.  so i took you to live with my brother owen on tatooine... and your mother took leia to live as the daughter of senator organa, on alderaan."
 "ben" "the organa household was high-born and politically quite powerful in that system. leia became a princess by virtue of lineage... no one knew she'd been adopted, of course. but it was a title without real power, since alderaan had long been a democracy.  even so, the family continued to be politically powerful, and leia, following in her foster father's path, became a senator as well.  that's not all she became, of course... she became the leader of her cell in the alliance against the corrupt empire. and because she had diplomatic immunity, she was a vital link for getting information to the rebel cause.  that's what she was doing when her path crossed yours... for her foster parents had always told her to contact me on tatooine, if her troubles became desperate."
 "luke" "but you can't let her get involved now, ben. vader will destroy her."
 "ben" "she hasn't been trained in the ways of the jedi the way you have, luke ... but the force is strong with her, as it is with all of your family. there is no avoiding the battle. you must face and destroy vader!"
 "han" "well, look at you, a general, huh?"
 "lando" "oh, well, someone must have told them about my little maneuver at the battle of taanab."
 "han" "well, don't look at me, pal. i just said you were a fair pilot. i didn't know they were lookin' for somebody to lead this crazy attack."
 "lando" "i'm surprised they didn't ask you to do it."
 "han" "well, who says they didn't.  but i ain't crazy. you're the respectable one, remember?"
 "mon mothma" "the emperor has made a critical error and the time for our attack has come."
 "mon mothma" "the data brought to us by the bothan spies pinpoints the exact location of the emperor's new battle station. we also know that the weapon systems of this death star are not yet operational. with the imperial fleet spread throughout the galaxy in a vain effort to engage us, it is relatively unprotected. but most important of all, we've learned that the emperor himself is personally overseeing the final stages of the construction of this death star."
 "mon mothma" "many bothans died to bring us this information. admiral ackbar, please."
 "ackbar" "you can see here the death star orbiting the forest moon of endor. although the weapon systems on this death star are not yet operational, the death star does have a strong defense mechanism. it is protected by an energy shield, which is generated from the nearby forest moon of endor. the shield must be deactivated if any attack is to be attempted. once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and attempt to knock out the main reactor."
 "ackbar" "general calrissian has volunteered to lead the fighter attack"
 "han" "good luck."
 "han" "you're gonna need it."
 "ackbar" "general madine."
 "general madine" "we have stolen a small imperial shuttle. disguised as a cargo ship, and using a secret imperial code, a strike team will land on the moon and deactivate the shield generator."
 "threepio" "sounds dangerous."
 "leia" "i wonder who they found to pull that off."
 "general madine" "general solo, is your strike team assembled?"
 "han" "uh, my team's ready. i don't have a command crew for the shuttle."
 "han" "well, it's gonna be rough, pal. i didn't want to speak for you."
 "han" "that's one."
 "leia" "uh, general... count me in."
 "voice" "i'm with you, too!"
 "leia" "what is it?"
 "luke" "ask me again sometime."
 "han" "luke."
 "luke" "hi, han... chewie."
 "threepio" "\"exciting\" is hardly the word i would use."
 "han" "look. i want you to take her. i mean it. take her. you need all the help you can get. she's the fastest ship in the fleet."
 "lando" "all right, old buddy. you know, i know what she means to you. i'll take good care of her. she-she won't get a scratch. all right?"
 "han" "right. i got your promise now. not a scratch."
 "lando" "look, would you get going, you pirate."
 "lando" "good luck."
 "han" "you, too."
 "han" "you got her warmed?"
 "luke" "yeah, she's comin' up."
 "han" "no. i don't think the empire had wookiees in mind when they designed her, chewie."
 "leia" "hey, are you awake?"
 "han" "yeah, i just got a funny feeling. like i'm not gonna see her again."
 "leia" "come on, general, let's move."
 "han" "right. chewie, let's see what this piece of junk can do. ready, everybody?"
 "luke" "all set."
 "threepio" "here we go again."
 "han" "all right, hang on."
 "vader" "what is thy bidding, my master?"
 "emperor" "send the fleet to the far side of endor. there it will stay until called for."
 "vader" "what of the reports of the rebel fleet massing near sullust?"
 "emperor" "it is of no concern. soon the rebellion will be crushed and young skywalker will be one of us! your work here is finished, my friend. go out to the command ship and await my orders."
 "vader" "yes, my master."
 "han" "if they don't go for this, we're gonna have to get outta here pretty quick, chewie."
 "controller" "we have you on our screen now. please identify."
 "han" "shuttle tydirium requesting deactivation of the deflector shield."
 "controller" "shuttle tydirium, transmit the clearance code for shield passage."
 "han" "transmission commencing."
 "leia" "now we find out if that code is worth the price we paid."
 "han" "it'll work. it'll work."
 "luke" "vader's on that ship."
 "han" "now don't get jittery, luke. there are a lot of command ships. keep your distance though, chewie, but don't look like you're trying to keep your distance."
 "han" "i don't know.  fly casual."
 "luke" "i'm endangering the mission. i shouldn't have come."
 "han" "it's your imagination, kid. come on. let's keep a little optimism here."
 "vader" "where is that shuttle going?"
 "piett" "shuttle tydirium, what is your cargo and destination?"
 "pilot voice" "parts and technical crew for the forest moon."
 "vader" "do they have a code clearance?"
 "piett" "it's an older code, sir, but it checks out. i was about to clear them."
 "piett" "shall i hold them?"
 "vader" "no. leave them to me. i will deal with them myself."
 "piett" "as you wish, my lord.  carry on."
 "han" "they're not goin' for it, chewie."
 "controller" "shuttle tydirium, deactivation of the shield will commence immediately. follow your present course."
 "han" "okay! i told you it was gonna work. no problem."
 "threepio" "oh, i told you it was dangerous here."
 "leia" "shall we try and go around?"
 "han" "it'll take time. this whole party'll be for nothing if they see us."
 "han" "chewie and i will take care of this. you stay here."
 "luke" "quietly, there might be more of them out there."
 "han" "hey... it's me."
 "scout #1" "go for help! go!"
 "luke" "great. come on."
 "leia" "over there! two more of them!"
 "luke" "i see them. wait, leia!"
 "luke" "quick! jam their comlink. center switch!"
 "han" "hey, wait! ahhh!"
 "luke" "move closer!"
 "luke" "get alongside that one!"
 "luke" "get him!"
 "luke" "keep on that one! i'll take these two!"
 "threepio" "oh, general solo, somebody's coming. oh!"
 "han" "luke! where's leia?"
 "luke" "what? she didn't come back?"
 "han" "i thought she was with you."
 "luke" "we got separated."
 "luke" "hey, we better go look for her."
 "han" "take the squad ahead.  we'll meet at the shield generator at 0300."
 "luke" "come on, artoo.  we'll need your scanners."
 "threepio" "don't worry, master luke.  we know what to do."
 "threepio" "and you said it was pretty here. ugh!"
 "leia" "cut it out!"
 "leia" "i'm not gonna hurt you."
 "leia" "well, looks like i'm stuck here. trouble is, i don't know where here is."
 "leia" "well, maybe you can help me. come on, sit down."
 "leia" "i promise i won't hurt you. now come here."
 "leia" "all right. you want something to eat?"
 "leia" "that's right. come on. hmmm?"
 "leia" "look, it's a hat. it's not gonna hurt you. look. you're a jittery little thing, aren't you?"
 "leia" "what is it?"
 "scout #l" "freeze!  come on, get up!"
 "scout #1" "go get your ride and take her back to base."
 "scout #2" "yes, sir."
 "leia" "come on, let's get outta here."
 "guard" "halt! the emperor does not wish to be disturbed at the moment."
 "vader" "the emperor will see me, now!"
 "guard" "the emperor will see you, now."
 "emperor" "i told you to remain on the command ship."
 "vader" "a small rebel force has penetrated the shield and landed on endor."
 "emperor" "yes, i know."
 "vader" "my son is with them."
 "emperor" "are you sure?"
 "vader" "i have felt him, my master."
 "emperor" "strange, that i have not. i wonder if your feelings on this matter are clear, lord vader."
 "vader" "they are clear, my master."
 "emperor" "then you must go to the sanctuary moon and wait for them."
 "vader" "he will come to me?"
 "emperor" "i have foreseen it. his compassion for you will be his undoing. he will come to you and then you will bring him before me."
 "vader" "as you wish."
 "han" "luke! luke!"
 "threepio" "oh, master luke."
 "luke" "there's two more wrecked speeders back there. and i found this."
 "threepio" "i'm afraid that artoo's sensors can find no trace of princess leia."
 "han" "i hope she's alright."
 "han" "what, chewie? what? chewie!"
 "han" "hey, i don't get it."
 "han" "nah, it's just a dead animal, chewie."
 "luke" "chewie, wa-wait!  don't!"
 "han" "nice work. great, chewie! great! always thinking with your stomach."
 "luke" "will you take it easy? let's just figure out a way to get out of this thing.  han, can you reach my lightsaber?"
 "han" "yeah, sure."
 "threepio" "artoo, i'm not sure that's such a good idea. it's a very long dro-o-op!!"
 "han" "wha--?  hey!  point that thing someplace else."
 "han" "hey!"
 "luke" "han, don't. it'll be all right."
 "luke" "chewie, give 'em your crossbow."
 "threepio" "oh, my head. oh, my goodness!"
 "luke" "do you understand anything they're saying?"
 "threepio" "oh, yes, master luke!  remember that i am fluent in over six million forms of communication."
 "han" "what are you telling them?"
 "threepio" "hello, i think... i could be mistaken. they're using a very primitive dialect.  but i do believe they think i am some sort of god."
 "han" "well, why don't you use your divine influence and get us out of this?"
 "threepio" "i beg your pardon, general solo, but that just wouldn't be proper."
 "han" "proper?!"
 "threepio" "it's against my programming to impersonate a deity."
 "han" "why, you--"
 "han" "my mistake. he's an old friend of mine."
 "han" "i have a really bad feeling about this."
 "han" "what did he say?"
 "threepio" "i'm rather embarrassed, general solo, but it appears you are to be the main course at a banquet in my honor."
 "han and luke" "leia!"
 "leia" "oh!"
 "threepio" "your royal highness."
 "leia" "but these are my friends. threepio, tell them they must be set free."
 "han" "somehow, i got the feeling that didn't help us very much."
 "luke" "threepio, tell them if they don't do as you wish, you'll become angry and use your magic."
 "threepio" "but master luke, what magic? couldn't possibly --"
 "luke" "just tell them."
 "threepio" "you see, master luke; they didn't believe me. just..."
 "threepio" "... as i said they wouldn't. wha-wha-what's happening! oh! oh, dear! oh!"
 "threepio" "put me down! he-e-elp! master luke! artoo! somebody, somebody, help! master luke, artoo! artoo, quickly! do something, somebody! oh! ohhh!"
 "threepio" "oh, oh, oh, oh! thank goodness."
 "luke" "thanks, threepio."
 "threepio" "i...i never knew i had it in me."
 "threepio" "yes, artoo. i was just coming to that."
 "han" "what's going on?"
 "leia" "i don't know."
 "threepio" "wonderful! we are now a part of the tribe."
 "han" "just what i always wanted."
 "han" "well, short help is better than no help at all, chewie.  thank you. okay."
 "threepio" "he says the scouts are going to show us the quickest way to the shield generator."
 "han" "good. how far is it? ask him. we need some fresh supplies, too. and try and get our weapons back."
 "han" "and hurry up, will ya? i haven't got all day."
 "luke" "luke, what's wrong?"
 "luke" "leia... do you remember your mother? your real mother?"
 "leia" "just a little bit. she died when i was very young."
 "luke" "what do you remember?"
 "leia" "just...images, really. feelings."
 "luke" "tell me."
 "leia" "she was very beautiful. kind, but...sad.  why are you asking me all this?"
 "luke" "i have no memory of my mother. i never knew her."
 "leia" "luke, tell me. what's troubling you?"
 "luke" "vader is here...now, on this moon."
 "leia" "how do you know?"
 "luke" "i felt his presence. he's come for me. he can feel when i'm near. that's why i have to go.  as long as i stay, i'm endangering the group and our mission here.  i have to face him."
 "leia" "why?"
 "luke" "he's my father."
 "leia" "your father?"
 "luke" "there's more. it won't be easy for you to hear it, but you must. if i don't make it back, you're the only hope for the alliance."
 "leia" "luke, don't talk that way. you have a power i--i don't understand and could never have."
 "luke" "you're wrong, leia. you have that power too. in time you'll learn to use it as i have. the force is strong in my family. my father has it...i have it...and...my sister has it."
 "luke" "yes. it's you leia."
 "leia" "i know. somehow...i've always known."
 "luke" "then you know why i have to face him."
 "leia" "no! luke, run away, far away. if he can feel your presence, then leave this place. i wish i could go with you."
 "luke" "no, you don't. you've always been strong."
 "leia" "but, why must you confront him?"
 "luke" "because...there is good in him. i've felt it. he won't turn me over to the emperor. i can save him. i can turn him back to the good side. i have to try."
 "han" "hey, what's goin' on?"
 "leia" "nothing. i - just want to be alone for a little while."
 "han" "nothing?  come on, tell me.  what's goin' on?"
 "leia" "i...i can't tell you."
 "han" "did you tell luke? is that who you could tell?"
 "leia" "i..."
 "han" "ahhh..."
 "han" "i'm sorry."
 "leia" "hold me."
 "commander" "this is a rebel that surrendered to us. although he denies it, i believe there may be more of them, and i request permission to conduct a further search of the area."
 "commander" "he was armed only with this."
 "vader" "good work, commander. leave us. conduct your search and bring his companions to me."
 "commander" "yes, my lord."
 "vader" "the emperor has been expecting you."
 "luke" "i know, father."
 "vader" "so, you have accepted the truth."
 "luke" "i've accepted the truth that you were once anakin skywalker, my father."
 "vader" "that name no longer has any meaning for me."
 "luke" "it is the name of your true self. you've only forgotten. i know there is good in you. the emperor hasn't driven it from you fully. that is why you couldn't destroy me. that's why you won't bring me to your emperor now."
 "vader" "i see you have constructed a new lightsaber."
 "vader" "your skills are complete. indeed, you are powerful, as the emperor has foreseen."
 "luke" "come with me."
 "vader" "obi-wan once thought as you do."
 "vader" "you don't know the power of the dark side. i must obey my master."
 "luke" "i will not turn...and you'll be forced to kill me."
 "vader" "if that is your destiny."
 "luke" "search your feelings, father. you can't do this. i feel the conflict within you. let go of your hate."
 "vader" "it is too late for me, son. the emperor will show you the true nature of the force. he is your master now."
 "luke" "then my father is truly dead."
 "leia" "the main entrance to the control bunker's on the far side of that landing platform. this isn't gonna be easy."
 "han" "hey, don't worry. chewie and me got into a lot of places more heavily guarded than this."
 "leia" "what's he saying?"
 "threepio" "he says there's a secret entrance on the other side of the ridge."
 "lando" "admiral, we're in position. all fighters accounted for."
 "ackbar" "proceed with the countdown. all groups assume attack coordinates."
 "lando" "don't worry, my friends are down there. they'll have that shield down on time... or this'll be the shortest offensive of all time."
 "ackbar" "all craft, prepare to jump to hyperspace on my mark."
 "lando" "all right. stand by."
 "han" "back door, huh? good idea."
 "han" "it's only a few guards. this shouldn't be too much trouble."
 "leia" "well, it only takes one to sound the alarm."
 "han" "then we'll do it real quiet-like."
 "threepio" "oh! oh, my. uh, princess leia!"
 "leia" "quiet."
 "threepio" "i'm afraid our furry companion has gone and done something rather rash."
 "leia" "oh, no."
 "han" "there goes our surprise attack."
 "scout" "look! over there! stop him!"
 "han" "not bad for a little furball. there's only one left. you stay here. we'll take care of this."
 "threepio" "i have decided that we shall stay here."
 "emperor" "welcome, young skywalker. i have been expecting you."
 "emperor" "you no longer need those."
 "emperor" "guards, leave us."
 "emperor" "i'm looking forward to completing your training. in time you will call me master."
 "luke" "you're gravely mistaken. you won't convert me as you did my father."
 "emperor" "oh, no, my young jedi. you will find that it is you who are mistaken...about a great many things."
 "vader" "his lightsaber."
 "emperor" "ah, yes, a jedi's weapon. much like your father's. by now you must know your father can never be turned from the dark side. so will it be with you."
 "luke" "you're wrong. soon i'll be dead...and you with me."
 "emperor" "perhaps you refer to the imminent attack of your rebel fleet."
 "emperor" "yes...i assure you we are quite safe from your friends here."
 "luke" "your overconfidence is your weakness."
 "emperor" "your faith in your friends is yours."
 "vader" "it is pointless to resist, my son."
 "emperor" "everything that has transpired has done so according to my design.  your friends up there on the sanctuary moon..."
