"character" "dialogue"
 "vader" "she must have hidden the plans in the escape pod.  send a detachment down to retrieve them.  see to it personally, commander.  there'll be no one to stop us this time."
 "commander" "yes, sir."
 "threepio" "how did i get into this mess?  i really don't know how.  we seem to be made to suffer.  it's our lot in life."
 "threepio" "i've got to rest before i fall apart.  my joints are almost frozen. "
 "threepio" "what a desolate place this is."
 "threepio" "where are you going?"
 "threepio" "well, i'm not going that way.  it's much too rocky.  this way is much easier."
 "threepio" "what makes you think there are settlements over there?"
 "threepio" "don't get technical with me."
 "threepio" "what mission?  what are you talking about?  i've had just about enough of you!  go that way!  you'll be malfunctioning within a day, you nearsighted scrap pile!"
 "threepio" "and don't let me catch you following me begging for help, because you won't get it."
 "threepio" "no more adventures.  i'm not going that way."
 "threepio" "that malfunctioning little twerp.  this is all his fault!  he tricked me into going this way, but he'll do no better."
 "threepio" "wait, what's that?  a transport!  i'm saved!"
 "threepio" "over here!  help!  please, help!"
 "luke" "... so i cut off my power, shut down the afterburners and came in low on deak's trail.  i was so close i thought i was going to fry my instruments. as it was i busted up the skyhopper pretty bad.  uncle owen was pretty upset.  he grounded me for the rest of the season.  you should have been there... it was fantastic."
 "biggs" "you ought to take it a little easy luke.  you may be the hottest bushpilot this side of mos eisley, but those little skyhoppers are dangerous.  keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
 "luke" "look who's talking.  now that you've been around those giant starships you're beginning to sound like my uncle. you've gotten soft in the city..."
 "biggs" "i've missed you kid."
 "luke" "well, things haven't been the same since you left, biggs.  it's been so...quiet."
 "biggs" "luke, i didn't come back just to say goodbye...  i shouldn't tell you this, but you're the only one i can trust... and if i don't come back, i want somebody to know."
 "luke" "what are you talking about?"
 "biggs" "i made some friends at the academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the alliance..."
 "luke" "join the rebellion?!  are you kidding!  how?"
 "biggs" "quiet down will ya!  you got a mouth bigger than a meteor crater!"
 "luke" "i'm sorry.  i'm quiet. listen how quiet i am.  you can barely hear me..."
 "biggs" "my friend has a friend on bestine who might help us make contact."
 "luke" "around forever trying to find them."
 "biggs" "i know it's a long shot, but if i don't find them i'll do what i can on my own...  it's what we always talked about.  luke, i'm not going to wait for the empire to draft me into service.  the rebellion is spreading and i want to be on the right side - the side i believe in. "
 "luke" "and i'm stuck here..."
 "biggs" "i thought you were going to the academy next term.  you'll get your chance to get off this rock."
 "luke" "not likely!  i had to cancel my application.  there has been a lot of unrest among the sand people since you left... they've even raided the outskirts of anchorhead."
 "biggs" "your uncle could hold off a whole colony of sand people with one blaster."
 "luke" "i know, but he's got enough vaporators going to make the place pay off.  he needs me for just one more season.  i can't leave him now."
 "biggs" "i feel for you, luke, you're going to have to learn what seems to be important or what really is important.  what good is all your uncle's work if it's taken over by the empire?...  you know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the empire."
 "luke" "it couldn't happen here.  you said it yourself.  the empire won't bother with this rock."
 "biggs" "things always change."
 "luke" "i wish i was going...  are you going to be around long? "
 "biggs" "no, i'm leaving in the morning..."
 "luke" "then i guess i won't see you."
 "biggs" "maybe someday...  i'll keep a lookout."
 "luke" "well, i'll be at the academy next season... after that who knows.  i won't be drafted into the imperial starfleet that's for sure...  take care of yourself, you'll always be the best friend i've got."
 "biggs" "so long, luke."
 "threepio" "artoo-detoo!  it's you!  it's you!"
 "first trooper" "someone was in the pod.  the tracks go off in this direction. "
 "second trooper" "look, sir - droids."
 "threepio" "wake up!  wake up!"
 "threepio" "we're doomed."
 "threepio" "do you think they'll melt us down?"
 "threepio" "don't shoot!  don't shoot!  will this never end?"
 "beru" "luke, tell owen that if he gets a translator to be sure it speaks bocce."
 "luke" "it looks like we don't have much of a choice but i'll remind him."
 "owen" "i have no need for a protocol droid."
 "threepio" "sir - not in an environment such as this - that's why i've also been programmed for over thirty secondary functions that..."
 "owen" "what i really need is a droid that understands the binary languages of moisture vaporators."
 "threepio" "vaporators!  sir - my first job was programming binary load lifters... very similar to your vaporators.  you could say..."
 "owen" "do you speak bocce?"
 "threepio" "of course i can, sir.  it's like a second language for me...  i'm as fluent in bocce..."
 "owen" "all right; shut up! i'll take this one."
 "threepio" "shutting up, sir."
 "owen" "luke, take these two over to the garage, will you?  i want you to have both of them cleaned up before dinner."
 "luke" "but i was going into toshi station to pick up some power converters..."
 "owen" "you can waste time with your friends when your chores are done.  now, come on, get to it!"
 "luke" "all right, come on!  and the red one, come on.  well, come on, red, let's go."
 "luke" "uncle owen..."
 "owen" "yeah?"
 "luke" "this r2 unit has a bad motivator.  look!"
 "owen" "hey, what're you trying to push on us?"
 "threepio" "excuse me, sir, but that r2 unit is in prime condition.  a real bargain."
 "luke" "uncle owen..."
 "owen" "yeah?"
 "luke" "what about that one?"
 "owen" "what about that blue one?  we'll take that one."
 "luke" "yeah, take it away."
 "threepio" "uh, i'm quite sure you'll be very pleased with that one, sir.  he really is in first-class condition.  i've worked with him before.  here he comes."
 "luke" "okay, let's go."
 "threepio" "now, don't forget this!  why i should stick my neck out for you is quite beyond my capacity!"
 "threepio" "thank the maker!  this oil bath is going to feel so good.  i've got such a bad case of dust contamination, i can barely move!"
 "luke" "it just isn't fair.  oh, biggs is right.  i'm never gonna get out of here!"
 "threepio" "is there anything i might do to help? "
 "luke" "well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
 "threepio" "i don't think so, sir.  i'm only a droid and not very knowledgeable about such things.  not on this planet, anyways.  as a matter of fact, i'm not even sure which planet i'm on."
 "luke" "well, if there's a bright center to the universe, you're on the planet that it's farthest from."
 "threepio" "i see, sir."
 "luke" "uh, you can call me luke."
 "threepio" "i see, sir luke."
 "luke" "just luke."
 "threepio" "and i am see-threepio, human-cyborg relations, and this is my counterpart, artoo-detoo."
 "luke" "hello."
 "luke" "you got a lot of carbon scoring here.  it looks like you boys have seen a lot of action."
 "threepio" "with all we've been through, sometimes i'm amazed we're in as good condition as we are, what with the rebellion and all."
 "luke" "you know of the rebellion against the empire?"
 "threepio" "that's how we came to be in your service, if you take my meaning, sir."
 "luke" "have you been in many battles?"
 "threepio" "several, i think.  actually, there's not much to tell.  i'm not much more than an interpreter, and not very good at telling stories.  well, not at making them interesting, anyways."
 "luke" "well, my little friend, you've got something jammed in here real good.  were you on a starcruiser or..."
 "leia" "help me, obi-wan kenobi.  you'remy only hope."
 "luke" "what's this?"
 "threepio" "what is what?!?  he asked you a question...what is that?"
 "leia" "help me, obi-wan kenobi.  you're my only hope.  help me, obi-wan kenobi.  you're my only hope."
 "threepio" "oh, he says it's nothing, sir.  merely a malfunction.  old data.  pay it no mind."
 "luke" "who is she?  she's beautiful."
 "threepio" "i'm afraid i'm not quite sure, sir."
 "leia" "help me, obi-wan kenobi..."
 "threepio" "i think she was a passenger on our last voyage.  a person of some importance, sir - i believe.  our captain was attached to..."
 "luke" "is there more to this recording?"
 "threepio" "behave yourself, artoo.  you're going to get us in trouble.  it's all right, you can trust him.  he's our new master."
 "threepio" "he says he's the property of obi-wan kenobi, a resident of these parts.  and it's a private message for him.  quite frankly, sir, i don't know what he's talking about.  our last master was captain antilles, but with what we've been through, this little r2 unit has become a bit eccentric."
 "luke" "obi-wan kenobi?  i wonder if he means old ben kenobi?"
 "threepio" "i beg your pardon, sir, but do you know what he's talking about?"
 "luke" "well, i don't know anyone named obi-wan, but old ben lives out beyond the dune sea.  he's kind of a strange old hermit."
 "luke" "i wonder who she is.  it sounds like she's in trouble.  i'd better play back the whole thing."
 "threepio" "he says the restraining bolt has short circuited his recording system.  he suggests that if you remove the bolt, he might be able to play back the entire recording."
 "luke" "h'm?  oh, yeah, well, i guess you're too small to run away on me if i take this off!  okay."
 "luke" "there you go."
 "luke" "well, wait a minute.  where'd she go?  bring her back!  play back the entire message."
 "threepio" "been playing.  the one you're carrying inside your rusty innards! "
 "aunt beru" "luke?  luke!  come to dinner!"
 "luke" "all right, i'll be right there, aunt beru."
 "threepio" "i'm sorry, sir, but he appears to have picked up a slight flutter."
 "luke" "well, see what you can do with him.  i'll be right back."
 "threepio" "just you reconsider playing that message for him."
 "threepio" "no, i don't think he likes you at all."
 "threepio" "no, i don't like you either."
 "luke" "you know, i think that r2 unit we bought might have been stolen."
 "owen" "what makes you think that?"
 "luke" "well, i stumbled across a recording while i was cleaning him.  he says he belongs to someone called obi-wan kenobi."
 "luke" "i thought he might have meant ben.  do you know what he's talking about?  well, i wonder if he's related to ben."
 "owen" "that old man's just a crazy wizard.  tomorrow i want you to take that r2 unit into anchorhead and have its memory flushed.  that'll be the end of it.  it belongs to us now."
 "luke" "but what if this obi-wan comes looking for him?"
 "owen" "he won't, i don't think he exists any more.  he died about the same time as your father."
 "luke" "he knew my father?"
 "owen" "i told you to forget it.  your only concern is to prepare the new droids for tomorrow.  in the morning i want them on the south ridge working out those condensers."
 "luke" "yes, sir.  i think those new droids are going to work out fine.  in fact, i, uh, was also thinking about our agreement about my staying on another season.  and if these new droids do work out, i want to transmit my application to the academy this year."
 "owen" "you mean the next semester before harvest?"
 "luke" "sure, there're more than enough droids."
 "owen" "harvest is when i need you the most.  only one more season.  this year we'll make enough on the harvest so i'll be able to hire some more hands.  and then you can go to the academy next year."
 "owen" "you must understand i need you here, luke."
 "luke" "but it's a whole 'nother year."
 "owen" "look, it's only one more season."
 "luke" "yeah, that's what you said last year when biggs and tank left."
 "aunt beru" "where are you going?"
 "luke" "it looks like i'm going nowhere.  i have to finish cleaning those droids."
 "aunt beru" "owen, he can't stay here forever.  most of his friends have gone.  it means so much to him."
 "owen" "i'll make it up to him next year.  i promise."
 "aunt beru" "luke's just not a farmer, owen.  he has too much of his father in him."
 "owen" "that's what i'm afraid of."
 "luke" "what are you doing hiding there?"
 "threepio" "it wasn't my fault, sir.  please don't deactivate me.  i told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
 "luke" "oh, no!"
 "threepio" "that r2 unit has always been a problem.  these astro-droids are getting quite out of hand.  even i can't understand their logic at times. "
 "luke" "how could i be so stupid?  he's nowhere in sight.  blast it!"
 "threepio" "pardon me, sir, but couldn't we go after him?"
 "luke" "it's too dangerous with all the sand people around.  we'll have to wait until morning."
 "owen" "luke, i'm shutting the power down for the night."
 "luke" "all right, i'll be there in a few minutes.  boy, am i gonna get it."
 "luke" "you know that little droid is going to cause me a lot of trouble."
 "threepio" "oh, he excels at that, sir."
 "owen" "luke?  luke?  luke?  where could he be loafing now!"
 "owen" "have you seen luke this morning?"
 "aunt beru" "he said he had some things to do before he started today, so he left early."
 "owen" "uh?  did he take those two new droids with him?"
 "aunt beru" "i think so."
 "owen" "well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!"
 "luke" "how's that."
 "luke" "old ben kenobi lives out in this direction somewhere, but i don't see how that r2 unit could have come this far.  we must have missed him.  uncle owen isn't going to take this very well."
 "threepio" "sir, would it help if you told him it was my fault."
 "luke" "sure.  he needs you.  he'd probably only deactivate you for a day or so..."
 "threepio" "deactivate!  well, on the other hand if you hadn't removed his restraining bolt..."
 "luke" "wait, there's something dead ahead on the scanner.  it looks like our droid... hit the accelerator."
 "luke" "hey, whoa, just where do you think you're going?"
 "threepio" "master luke here is your rightful owner.  we'll have no more of this obi-wan kenobi jibberish... and don't talk to me of your mission, either.  you're fortunate he doesn't blast you into a million pieces right here."
 "luke" "well, come on. it's getting late.  i only hope we can get back before uncle owen really blows up."
 "threepio" "if you don't mind my saying so, sir, i think you should deactivate the little fugitive until you've gotten him back to your workshop."
 "luke" "no, he's not going to try anything."
 "luke" "what's wrong with him now?"
 "threepio" "oh my... sir, he says there are several creatures approaching from the southeast."
 "luke" "sand people!  or worse!  come on, let's have a look.  come on."
 "luke" "there are two banthas down there but i don't see any... wait a second, they're sand people all right.  i can see one of them now."
 "ben" "hello there!  come here my little friend.  don't be afraid."
 "ben" "don't worry, he'll be all right."
 "luke" "what happened?"
 "ben" "rest easy, son, you've had a busy day.  you're fortunate you're still in one piece."
 "luke" "ben?  ben kenobi!  boy, am i glad to see you! "
 "ben" "the jundland wastes are not to be traveled lightly.  tell me, young luke, what brings you out this far?"
 "luke" "oh, this little droid!  i think he's searching for his former master...  i've never seen such devotion in a droid before... there seems tobe no stopping him.  he claims to be the property of an obi-wan kenobi.  is he a relative of yours?  do you know who he's talking about?"
 "ben" "obi-wan kenobi... obi-wan?  now thats a name i haven't heard in a long time... a long time."
 "luke" "i think my uncle knew him.  he said he was dead."
 "ben" "oh, he's not dead, no... not yet."
 "luke" "you know him!"
 "ben" "well of course, of course i know him.  he's me!  i haven't gone by the name obi-wan since oh, before you were born."
 "luke" "then the droid does belong to you."
 "ben" "don't seem to remember ever owning a droid.  very interesting... "
 "ben" "i think we better get indoors.  the sand people are easily startled but they will soon be back and in greater numbers."
 "luke" "... threepio!"
 "threepio" "where am i?  i must have taken a bad step..."
 "luke" "can you stand?  we've got to get out of here before the sand people return."
 "threepio" "i don't think i can make it.  you go on, master luke.  there's no sense in you risking yourself on my account.  i'm done for."
 "luke" "no, you're not.  what kind of talk is that?"
 "ben" "quickly, son... they're on the move."
 "luke" "no, my father didn't fight in the wars.  he was a navigator on a spice freighter."
 "ben" "that's what your uncle told you.  he didn't hold with your father's ideals.  thought he should have stayed here and not gotten involved."
 "luke" "you fought in the clone wars?"
 "ben" "yes, i was once a jedi knight the same as your father."
 "luke" "i wish i'd known him."
 "ben" "he was the best star-pilot in the galaxy, and a cunning warrior.  i understand you've become quite a good pilot yourself.  and he was a good friend.  which reminds me..."
 "ben" "i have something here for you.  your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  he feared you might follow old obi-wan on some damned-fool idealistic crusade like your father did. "
 "threepio" "sir, if you'll not be needing me, i'll close down for awhile."
 "luke" "sure, go ahead."
 "luke" "what is it?"
 "ben" "your fathers lightsaber.  this is the weapon of a jedi knight.  not as clumsy or as random as a blaster."
 "ben" "an elegant weapon for a morecivilized time.  for over a thousand generations the jedi knights were the guardians of peace and justice in the old republic.  before the dark times, before the empire."
 "luke" "how did my father die?"
 "ben" "a young jedi named darth vader, who was a pupil of mine until he turned to evil, helped the empire hunt down and destroy the jedi knights.  he betrayed and murdered your father.  now the jedi are all but extinct.  vader was seduced by the dark side of the force."
 "luke" "the force?"
 "ben" "well, the force is what gives the jedi his power.  it's an energy field created by all living things.  it surrounds us and penetrates us.  it binds the galaxy together."
 "ben" "now, let's see if we can't figure out what you are, my little friend.  and where you come from."
 "luke" "i saw part of the message he was..."
 "ben" "i seem to have found it."
 "leia" "general kenobi, years ago you served my father in the clone wars.  now he begs you to help him in his struggle against the empire.  i regret that i am unable to present my father's request to you in person, but my ship has fallen under attack and i'm afraid my mission to bring you to alderaan has failed.  i have placed information vital to the survival of the rebellion into the memory systems of this r2 unit.  my father will know how to retrieve it.  you must see this droid safely delivered to him on alderaan.  this is our most desperate hour.  help me, obi-wan kenobi, you're my only hope."
 "ben" "you must learn the ways of the force if you're to come with me to alderaan."
 "luke" "alderaan?  i'm not going to alderaan.  i've got to go home.  it's late, i'm in for it as it is."
 "ben" "i need your help, luke.  i'm getting too old for this sort of thing.she needs your help."
 "luke" "i can't get involved!  i've got work to do!  it's not that i like the empire.  i hate it!  but there's nothing i can do about it right now.  it's such a long way from here."
 "ben" "that's your uncle talking."
 "luke" "oh, god, my uncle.  how am i ever going to explain this?"
 "ben" "learn about the force, luke."
 "luke" "look, i can take you as far as anchorhead.  you can get a transport there to mos eisley or wherever you're going."
 "ben" "you must do what you feel is right, of course."
 "tagge" "until this battle station is fully operational we are vulnerable.  the rebel alliance is too well equipped.  they're more dangerous than you realize."
 "motti" "dangerous to your starfleet, commander; not to this battle station!"
 "tagge" "the rebellion will continue to gain support in the imperial senate as long as...."
 "tarkin" "the imperial senate will no longer be of any concern to us.  i've just received word that the emperor has dissolved the council permanently.  the last remnants of the old republic have been swept away."
 "tagge" "that's impossible!  how will the emperor maintain control without the bureaucracy?"
 "tarkin" "the regional governors now have direct control over territories.  fear will keep the local systems in line.  fear of this battle station."
 "tagge" "and what of the rebellion?  if the rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
 "vader" "the plans you refer to will soon be back in our hands."
 "motti" "any attack made by the rebels against this station would be a useless gesture, no matter what technical data they've obtained.  this station is now the ultimate power in the universe.  i suggest we use it!"
 "vader" "don't be too proud of this technological terror you've constructed.  the ability to destroy a planet is insignificant next to the power of the force."
 "motti" "don't try to frighten us with your sorcerer's ways, lord vader.  your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the rebel's hidden fort..."
 "vader" "i find your lack of faith disturbing."
 "tarkin" "enough of this!  vader, release him!"
 "vader" "as you wish."
 "tarkin" "this bickering is pointless.  lord vader will provide us with the location of the rebel fortress by the time this station is operational.  we will then crush the rebellion with one swift stroke."
 "luke" "it looks like sand people did this, all right.  look, here are gaffi sticks, bantha tracks.  it's just... i never heard of them hitting anything this big before."
 "ben" "they didn't.  but we are meant to think they did.  these tracks are side by side.  sand people always ride single file to hide there numbers."
 "luke" "these are the same jawas that sold us artoo and threepio."
 "ben" "and these blast points, too accurate for sand people.  only imperial stormtroopers are so precise."
 "luke" "why would imperial troops want to slaughter jawas?"
 "luke" "if they traced the robots here, they may have learned who they sold them to.  and that would lead them back home!"
 "ben" "wait, luke!  it's too dangerous."
 "luke" "uncle owen!  aunt beru!  uncle owen!"
 "vader" "and, now your highness, we will discuss the location of your hidden rebel base."
 "ben" "there's nothing you could have done, luke, had you been there.  you'd have been killed, too, and the droids would now be in the hands of the empire."
 "luke" "i want to come with you to alderaan.  there's nothing here for me now.  i want to learn the ways of the force and become a jedi like my father."
 "ben" "mos eisley spaceport.  you will never find a more wretched hive of scum and villainy.  we must be cautious."
 "trooper" "how long have you had these droids?"
 "luke" "about three or four seasons."
 "ben" "they're for sale if you want them."
 "trooper" "let me see your identification."
 "ben" "you don't need to see his identification."
 "trooper" "we don't need to see his identification."
 "ben" "looking for."
 "trooper" "these are not the droids we're looking for."
 "ben" "he can go about his business."
 "trooper" "you can go about your business."
 "ben" "move along."
 "trooper" "move along.  move along."
 "threepio" "i can't abide these jawas.  disgusting creatures."
 "luke" "go on, go on.  i can't understand how we got by those troopers.  i thought we were dead."
 "ben" "the force can have a strong influence on the weak-minded.  you will find it a powerful ally."
 "luke" "do you really think we're going to find a pilot here that'll take us to alderaan?"
 "ben" "well, most of the best freighter pilots can be found here.  only watch your step.  this place can be a little rough."
 "luke" "i'm ready for anything."
 "threepio" "come along, artoo."
 "bartender" "we don't serve their kind here!"
 "luke" "what?"
 "bartender" "your droids. they'll have to wait outside.  we don't want them here."
 "luke" "listen, why don't you wait out by the speeder.  we don't want any trouble."
 "threepio" "i heartily agree with you sir."
 "creature" "negola dewaghi wooldugger?!?"
 "human" "he doesn't like you."
 "luke" "i'm sorry."
 "human" "i don't like you either"
 "human" "don't insult us.  you just watch yourself.  we're wanted men.  i have the death sentence on twelve systems."
 "luke" "i'll be careful than."
 "human" "you'll be dead."
 "ben" "this little one isn't worth the effort.  come let me buy you something..."
 "bartender" "no blasters!  no blaster!"
 "ben" "this is chewbacca.  he's first-mate on a ship that might suit our needs."
 "threepio" "i don't like the look of this."
 "han" "han solo.  i'm captain of the millennium falcon.  chewie here tells me you're looking for passage to the alderaan system."
 "ben" "yes, indeed.  if it's a fast ship."
 "han" "fast ship?  you've never heard of the millennium falcon?"
 "ben" "should i have?"
 "han" "it's the ship that made the kessel run in less than twelve parsecs!"
 "han" "i've outrun imperial starships, not the local bulk-cruisers, mind you.  i'm talking about the big corellian ships now.  she's fast enough for you, old man.  what's the cargo?"
 "ben" "only passengers.  myself, the boy, two droids, and no questions asked."
 "han" "what is it?  some kind of local trouble?"
 "ben" "let's just say we'd like to avoid any imperial entanglements."
 "han" "well, that's the real trick, isn't it?  and it's going to cost you something extra.  ten thousand in advance."
 "luke" "ten thousand?  we could almost buy our own ship for that!"
 "han" "but who's going to fly it, kid!  you?"
 "luke" "you bet i could.  i'm not such a bad pilot myself!  we don't have to sit here and listen..."
 "ben" "we haven't that much with us.  but we could pay you two thousand now, plus fifteen when we reach alderaan."
 "han" "seventeen, huh!"
 "han" "okay.  you guys got yourself a ship.  we'll leave as soon as you're ready.  docking bay ninety-four."
 "ben" "ninety-four."
 "han" "looks like somebody's beginning to take an interest in your handiwork."
 "trooper" "all right, we'll check it out."
 "han" "seventeen thousand!  those guys must really be desperate.  this could really save my neck.  get back to the ship and get her ready."
 "ben" "you'll have to sell your speeder."
 "luke" "that's okay.  i'm never coming back to this planet again."
 "greedo" "going somewhere, solo?"
 "han" "yes, greedo.  as a matter of fact, i was just going to see your boss.  tell jabba that i've got his money."
 "greedo" "it's too late.  you should have paid him when you had the chance.  jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you.  i'm lucky i found you first."
 "han" "yeah, but this time i got the money."
 "greedo" "if you give it to me, i might forget i found you."
 "han" "i don't have it with me.  tell jabba..."
 "greedo" "jabba's through with you.  he has no time for smugglers who drop their shipments at the first sign of an imperial cruiser."
 "han" "even i get boarded sometimes.  do you think i had a choice?"
 "greedo" "you can tell that to jabba.  he may only take your ship."
 "han" "over my dead body."
 "greedo" "that's the idea i've been looking forward to killing you for a long time."
 "han" "yes, i'll bet you have."
 "han" "sorry about the mess."
 "vader" "her resistance to the mind probe is considerable.  it will be some time before we can extract any information from her."
 "imperial officer" "the final check-out is complete.  all systems are operational.  what course shall we set?"
 "tarkin" "perhaps she would respond to an alternative form of persuasion."
 "vader" "what do you mean?"
 "tarkin" "i think it is time we demonstrate the full power of this station.set your course for princess leia's home planet of alderaan."
 "trooper" "with pleasure."
 "threepio" "lock the door, artoo."
 "trooper" "all right, check that side of the street.  it's secure.  move on to the next door."
 "threepio" "i would much rather have gone with master luke than stay here with you.  i don't know what all this trouble is about, but i'm sure it must be your fault."
 "threepio" "you watch your language!"
 "luke" "he says it's the best he can do.  since the xp-38 came out, they "
 "ben" "it will be enough."
 "ben" "if the ship's as fast as he's boasting, we ought to do well."
 "jabba" "come on out, solo!"
 "han" "i've been waiting for you, jabba."
 "jabba" "i expected you would be."
 "han" "i'm not the type to run."
 "jabba" "han, my boy, there are times when you disappoint me... why haven't you paid me?  and why did you have to fry poor greedo like that... after all we've been through together."
 "han" "you sent greedo to blast me."
 "jabba" "han, why you're the best smuggler in the business.  you're too valuable to fry.  he was only relaying my concern at your delays.  he wasn't going to blast you."
 "han" "i think he thought he was.  next time don't send one of those twerps.  if you've got something to say to me, come see me yourself."
 "jabba" "han, han!  if only you hadn't had to dump that shipment of spice... you understand i just can't make an exception.  where would i be if every pilot who smuggled for me dumped their shipment at the first sign of an imperial starship?  it's not good business."
 "han" "you know, even i get boarded sometimes, jabba.  i had no choice, but i've gota charter now and i can pay you back, plus a little extra.  i just need some more time."
 "jabba" "put your blasters away.  han, my boy, i'm only doing this because you're the best and i need you.  so, for an extra, say... twenty percent i'll give you a little more time... but this is it.  if you disappoint me again, i'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life."
 "han" "jabba, i'll pay you because it's my pleasure."
 "luke" "what a piece of junk."
 "han" "she'll make point five beyond the speed of light.  she may not look like much, but she's got it where it counts, kid.  i've added some special modifications myself."
 "han" "we're a little rushed, so if you'll hurry aboard we'll get out of here."
 "threepio" "hello, sir."
 "trooper" "which way?"
 "trooper" "all right, men.  load your weapons!"
 "trooper" "stop that ship!"
 "trooper" "blast 'em!"
 "han" "chewie, get us out of here!"
 "threepio" "oh, my.  i'd forgotten how much i hate space travel."
 "han" "it looks like an imperial cruiser.  our passengers must be hotter than i thought.  try and hold them off.  angle the deflector shield while i make the calculations for the jump to light speed."
 "han" "stay sharp!  there are two more coming in; they're going to try to cut us off."
 "luke" "why don't you outrun them?  i thought you said this thing was fast."
 "han" "watch your mouth, kid, or you're going to find yourself floating home.  we'll be safe enough once we make the jump to hyperspace.  besides, i know a few maneuvers. we'll lose them!"
 "han" "here's where the fun begins!"
 "ben" "how long before you can make the jump to light speed?"
 "han" "it'll take a few moments to get the coordinates from the navi-computer."
 "luke" "are you kidding?  at the rate they're gaining..."
 "han" "traveling through hyperspace isn't like dusting crops, boy!  without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it?"
 "luke" "what's that flashing?"
 "han" "we're losing our deflector shield.  go strap yourself in, i'm going to make the jump to light speed."
 "motti" "we've entered the alderaan system."
